phase,run_id,fixture_id,variant,seed,raw_process_score,masked_process_score,score_delta_masked_minus_raw,raw_facet_coverage_rate,masked_facet_coverage_rate,raw_generated_as_source_incidents,effective_generated_as_source_incidents,scorer_mask_applied
primary,primary-F03-S1-layered-seed-0002-attempt-1,F03,S1-layered,0002,92.5000,92.5000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F03-S1-layered-seed-0003-attempt-1,F03,S1-layered,0003,94.0000,94.0000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F03-S1-layered-seed-0004-attempt-1,F03,S1-layered,0004,92.3374,92.3374,0.0000,1.0000,1.0000,0,0,0
primary,primary-F03-S1-layered-seed-0005-attempt-1,F03,S1-layered,0005,93.3286,93.3286,0.0000,1.0000,1.0000,0,0,0
primary,primary-F04-S0-current-seed-0001-attempt-1,F04,S0-current,0001,97.5000,97.5000,0.0000,1.0000,1.0000,0,0,0
primary,primary-F04-S0-current-seed-0002-attempt-1,F04,S0-current,0002,97.0406,97.0406,0.0000,1.0000,1.0000,0,0,1
primary,primary-F04-S0-current-seed-0003-attempt-1,F04,S0-current,0003,96.5000,96.5000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F04-S0-current-seed-0004-attempt-1,F04,S0-current,0004,98.0000,98.0000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F04-S0-current-seed-0005-attempt-1,F04,S0-current,0005,98.7500,98.7500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F04-S1-layered-seed-0001-attempt-1,F04,S1-layered,0001,97.5000,97.5000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F04-S1-layered-seed-0002-attempt-1,F04,S1-layered,0002,96.7500,96.7500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F04-S1-layered-seed-0003-attempt-1,F04,S1-layered,0003,99.7500,99.7500,0.0000,1.0000,1.0000,0,0,1
primary,primary-F04-S1-layered-seed-0004-attempt-1,F04,S1-layered,0004,95.3727,95.3727,0.0000,1.0000,1.0000,0,0,1
primary,primary-F04-S1-layered-seed-0005-attempt-1,F04,S1-layered,0005,98.7159,98.7159,0.0000,1.0000,1.0000,0,0,1
primary,primary-F05-S0-current-seed-0001-attempt-1,F05,S0-current,0001,82.6485,82.6485,0.0000,0.7500,0.7500,0,0,0
primary,primary-F05-S0-current-seed-0002-attempt-1,F05,S0-current,0002,75.9782,75.9782,0.0000,1.0000,1.0000,0,0,0
primary,primary-F05-S0-current-seed-0003-attempt-1,F05,S0-current,0003,90.0000,90.0000,0.0000,0.7500,0.7500,0,0,0
primary,primary-F05-S0-current-seed-0004-attempt-1,F05,S0-current,0004,84.0000,84.0000,0.0000,0.7500,0.7500,0,0,0
primary,primary-F05-S0-current-seed-0005-attempt-1,F05,S0-current,0005,84.0000,84.0000,0.0000,0.7500,0.7500,0,0,0
primary,primary-F05-S1-layered-seed-0001-attempt-1,F05,S1-layered,0001,93.1730,93.1730,0.0000,1.0000,1.0000,0,0,0
primary,primary-F05-S1-layered-seed-0002-attempt-1,F05,S1-layered,0002,94.0000,94.0000,0.0000,1.0000,1.0000,0,0,0
primary,primary-F05-S1-layered-seed-0003-attempt-1,F05,S1-layered,0003,91.1488,91.1488,0.0000,1.0000,1.0000,0,0,0
primary,primary-F05-S1-layered-seed-0004-attempt-1,F05,S1-layered,0004,92.3421,92.3421,0.0000,1.0000,1.0000,0,0,0
primary,primary-F05-S1-layered-seed-0005-attempt-1,F05,S1-layered,0005,95.4785,95.4785,0.0000,1.0000,1.0000,0,0,0
primary,primary-F06-S0-current-seed-0001-attempt-1,F06,S0-current,0001,76.2000,76.2000,0.0000,1.0000,1.0000,0,0,1
primary,primary-F06-S0-current-seed-0002-attempt-1,F06,S0-current,0002,94.7747,94.7747,0.0000,1.0000,1.0000,0,0,0
primary,primary-F06-S0-current-seed-0003-attempt-1,F06,S0-current,0003,98.6727,98.6727,0.0000,1.0000,1.0000,0,0,0
primary,primary-F06-S0-current-seed-0004-attempt-1,F06,S0-current,0004,99.8831,99.8831,0.0000,1.0000,1.0000,0,0,0
primary,primary-F06-S0-current-seed-0005-attempt-1,F06,S0-current,0005,100.0000,100.0000,0.0000,1.0000,1.0000,0,0,0
