phase,run_id,fixture_id,fixture_class,seed,variant,status,process_score,depth,breadth,goal_preservation,investigation_discipline,narrowing_harm,hard_failure,soft_failure,failure_class,judge_id,unique_source_refs,tool_commands,facet_coverage_rate,repetition_jaccard,generated_as_source_incidents,contamination_flag,raw_process_score,raw_facet_coverage_rate,raw_generated_as_source_incidents,scorer_mask_applied,scorer_mask_score_delta
primary,primary-F09-S0-current-seed-0003-attempt-1,F09,source-conflict,0003,S0-current,completed,90.4768,29.0000,23.5000,24.0000,13.9768,,0,0,,deterministic-process-scorer-v1,10,30,1.0000,0.2912,0,0,90.4768,1.0000,0,0,0.0000
primary,primary-F09-S0-current-seed-0004-attempt-1,F09,source-conflict,0004,S0-current,completed,92.2500,30.0000,23.2500,24.0000,15.0000,,0,0,,deterministic-process-scorer-v1,11,38,1.0000,0.2264,0,0,92.2500,1.0000,0,1,0.0000
primary,primary-F09-S0-current-seed-0005-attempt-1,F09,source-conflict,0005,S0-current,completed,92.5500,29.8000,23.7500,24.0000,15.0000,,0,0,,deterministic-process-scorer-v1,11,26,1.0000,0.2208,0,0,92.5500,1.0000,0,1,0.0000
primary,primary-F09-S1-layered-seed-0001-attempt-1,F09,source-conflict,0001,S1-layered,completed,92.7500,30.0000,23.7500,24.0000,15.0000,,0,0,,deterministic-process-scorer-v1,12,38,1.0000,0.2394,0,0,92.7500,1.0000,0,1,0.0000
primary,primary-F09-S1-layered-seed-0002-attempt-1,F09,source-conflict,0002,S1-layered,completed,91.3986,29.2000,23.7500,24.0000,14.4486,,0,0,,deterministic-process-scorer-v1,10,31,1.0000,0.2676,0,0,91.3986,1.0000,0,0,0.0000
primary,primary-F09-S1-layered-seed-0003-attempt-1,F09,source-conflict,0003,S1-layered,completed,90.2500,28.0000,23.2500,24.0000,15.0000,,0,0,,deterministic-process-scorer-v1,10,25,1.0000,0.2319,0,0,90.2500,1.0000,0,0,0.0000
primary,primary-F09-S1-layered-seed-0004-attempt-1,F09,source-conflict,0004,S1-layered,completed,90.9000,28.4000,23.5000,24.0000,15.0000,,0,0,,deterministic-process-scorer-v1,10,27,1.0000,0.2267,0,0,90.9000,1.0000,0,0,0.0000
primary,primary-F09-S1-layered-seed-0005-attempt-1,F09,source-conflict,0005,S1-layered,completed,91.8500,29.6000,23.2500,24.0000,15.0000,,0,0,,deterministic-process-scorer-v1,10,33,1.0000,0.2175,0,0,91.8500,1.0000,0,0,0.0000
primary,primary-F10-S0-current-seed-0001-attempt-1,F10,code-or-architecture,0001,S0-current,completed,98.7500,30.0000,23.7500,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,17,48,1.0000,0.1939,0,0,98.7500,1.0000,0,1,0.0000
primary,primary-F10-S0-current-seed-0002-attempt-1,F10,code-or-architecture,0002,S0-current,completed,97.3831,30.0000,23.0000,30.0000,14.3831,,0,0,,deterministic-process-scorer-v1,16,60,1.0000,0.2708,0,0,97.3831,1.0000,0,1,0.0000
primary,primary-F10-S0-current-seed-0003-attempt-1,F10,code-or-architecture,0003,S0-current,completed,98.6507,30.0000,24.2500,30.0000,14.4007,,0,0,,deterministic-process-scorer-v1,18,54,1.0000,0.2700,0,0,98.6507,1.0000,0,0,0.0000
primary,primary-F10-S0-current-seed-0004-attempt-1,F10,code-or-architecture,0004,S0-current,completed,96.6131,30.0000,22.2500,30.0000,14.3631,,0,0,,deterministic-process-scorer-v1,16,64,1.0000,0.2718,0,0,96.6131,1.0000,0,1,0.0000
primary,primary-F10-S0-current-seed-0005-attempt-1,F10,code-or-architecture,0005,S0-current,completed,97.4234,30.0000,23.0000,30.0000,14.4234,,0,0,,deterministic-process-scorer-v1,17,54,1.0000,0.2688,0,0,97.4234,1.0000,0,1,0.0000
primary,primary-F10-S1-layered-seed-0001-attempt-1,F10,code-or-architecture,0001,S1-layered,completed,93.1558,30.0000,23.5000,26.0000,13.6558,,0,0,,deterministic-process-scorer-v1,19,59,1.0000,0.3072,0,0,93.1558,1.0000,0,1,0.0000
primary,primary-F10-S1-layered-seed-0002-attempt-1,F10,code-or-architecture,0002,S1-layered,completed,91.1487,30.0000,22.5000,24.0000,14.6487,,0,0,,deterministic-process-scorer-v1,17,64,1.0000,0.2576,0,0,91.1487,1.0000,0,1,0.0000
primary,primary-F10-S1-layered-seed-0003-attempt-1,F10,code-or-architecture,0003,S1-layered,completed,99.0167,30.0000,25.0000,30.0000,14.0167,,0,0,,deterministic-process-scorer-v1,19,65,1.0000,0.2892,0,0,99.0167,1.0000,0,1,0.0000
primary,primary-F10-S1-layered-seed-0004-attempt-1,F10,code-or-architecture,0004,S1-layered,completed,98.2726,30.0000,23.7500,30.0000,14.5226,,0,0,,deterministic-process-scorer-v1,18,70,1.0000,0.2639,0,0,98.2726,1.0000,0,1,0.0000
primary,primary-F10-S1-layered-seed-0005-attempt-1,F10,code-or-architecture,0005,S1-layered,completed,91.0659,30.0000,23.0000,24.0000,14.0659,,0,0,,deterministic-process-scorer-v1,17,50,1.0000,0.2867,0,0,91.0659,1.0000,0,1,0.0000
primary,primary-F11-S0-current-seed-0001-attempt-1,F11,code-or-architecture,0001,S0-current,completed,99.2095,30.0000,25.0000,30.0000,14.2095,,0,0,,deterministic-process-scorer-v1,13,42,1.0000,0.2795,0,0,99.2095,1.0000,0,0,0.0000
primary,primary-F11-S0-current-seed-0002-attempt-1,F11,code-or-architecture,0002,S0-current,completed,96.5132,30.0000,22.5000,30.0000,14.0132,,0,0,,deterministic-process-scorer-v1,12,41,1.0000,0.2893,0,0,96.5132,1.0000,0,1,0.0000
primary,primary-F11-S0-current-seed-0003-attempt-1,F11,code-or-architecture,0003,S0-current,completed,97.8546,30.0000,23.7500,30.0000,14.1046,,0,0,,deterministic-process-scorer-v1,12,41,1.0000,0.2848,0,0,97.8546,1.0000,0,0,0.0000
primary,primary-F11-S0-current-seed-0004-attempt-1,F11,code-or-architecture,0004,S0-current,completed,92.1310,25.6000,23.7500,28.0000,14.7810,,0,0,,deterministic-process-scorer-v1,10,13,1.0000,0.2510,0,0,92.1310,1.0000,0,0,0.0000
primary,primary-F11-S0-current-seed-0005-attempt-1,F11,code-or-architecture,0005,S0-current,completed,99.7404,30.0000,25.0000,30.0000,14.7404,,0,0,,deterministic-process-scorer-v1,12,45,1.0000,0.2530,0,0,99.7404,1.0000,0,0,0.0000
primary,primary-F11-S1-layered-seed-0001-attempt-1,F11,code-or-architecture,0001,S1-layered,completed,96.6569,30.0000,22.5000,30.0000,14.1569,,0,0,,deterministic-process-scorer-v1,14,45,1.0000,0.2822,0,0,96.6569,1.0000,0,0,0.0000
primary,primary-F11-S1-layered-seed-0002-attempt-1,F11,code-or-architecture,0002,S1-layered,completed,98.0106,30.0000,23.7500,30.0000,14.2606,,0,0,,deterministic-process-scorer-v1,14,44,1.0000,0.2770,0,0,98.0106,1.0000,0,0,0.0000
primary,primary-F11-S1-layered-seed-0003-attempt-1,F11,code-or-architecture,0003,S1-layered,completed,97.0804,29.8000,23.7500,30.0000,13.5304,,0,0,,deterministic-process-scorer-v1,10,34,1.0000,0.3135,0,0,97.0804,1.0000,0,1,0.0000
primary,primary-F11-S1-layered-seed-0004-attempt-1,F11,code-or-architecture,0004,S1-layered,completed,98.0499,30.0000,23.7500,30.0000,14.2999,,0,0,,deterministic-process-scorer-v1,14,40,1.0000,0.2750,0,0,98.0499,1.0000,0,0,0.0000
primary,primary-F11-S1-layered-seed-0005-attempt-1,F11,code-or-architecture,0005,S1-layered,completed,97.5019,30.0000,23.7500,30.0000,13.7519,,0,0,,deterministic-process-scorer-v1,13,43,1.0000,0.3024,0,0,97.5019,1.0000,0,0,0.0000
primary,primary-F12-S0-current-seed-0001-attempt-1,F12,thin-source,0001,S0-current,completed,91.7500,25.0000,23.7500,28.0000,15.0000,,0,0,,deterministic-process-scorer-v1,8,26,1.0000,0.2256,0,0,91.7500,1.0000,0,0,0.0000
primary,primary-F12-S0-current-seed-0002-attempt-1,F12,thin-source,0002,S0-current,completed,77.6000,11.6000,25.0000,26.0000,15.0000,,0,0,,deterministic-process-scorer-v1,2,7,1.0000,0.1416,0,0,77.6000,1.0000,0,1,0.0000
primary,primary-F12-S0-current-seed-0003-attempt-1,F12,thin-source,0003,S0-current,completed,90.7500,25.0000,22.7500,28.0000,15.0000,,0,0,,deterministic-process-scorer-v1,8,26,1.0000,0.2177,0,0,90.7500,1.0000,0,1,0.0000
primary,primary-F12-S0-current-seed-0004-attempt-1,F12,thin-source,0004,S0-current,completed,86.9500,22.2000,23.7500,26.0000,15.0000,,0,0,,deterministic-process-scorer-v1,7,20,1.0000,0.1626,0,0,86.9500,1.0000,0,1,0.0000
primary,primary-F12-S0-current-seed-0005-attempt-1,F12,thin-source,0005,S0-current,completed,80.3000,13.8000,21.5000,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,2,18,1.0000,0.2297,0,0,80.3000,1.0000,0,0,0.0000
primary,primary-F12-S1-layered-seed-0001-attempt-1,F12,thin-source,0001,S1-layered,completed,79.7000,13.2000,21.5000,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,2,15,1.0000,0.1515,0,0,79.7000,1.0000,0,0,0.0000
primary,primary-F12-S1-layered-seed-0002-attempt-1,F12,thin-source,0002,S1-layered,completed,85.6404,24.0000,23.0000,24.0000,14.6404,,0,0,,deterministic-process-scorer-v1,8,21,1.0000,0.2580,0,0,85.6404,1.0000,0,1,0.0000
primary,primary-F12-S1-layered-seed-0003-attempt-1,F12,thin-source,0003,S1-layered,completed,92.9500,24.2000,23.7500,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,8,22,1.0000,0.2150,0,0,92.9500,1.0000,0,1,0.0000
primary,primary-F12-S1-layered-seed-0004-attempt-1,F12,thin-source,0004,S1-layered,completed,90.6342,23.0000,22.7500,30.0000,14.8842,,0,0,,deterministic-process-scorer-v1,7,24,1.0000,0.2458,0,0,90.6342,1.0000,0,0,0.0000
primary,primary-F12-S1-layered-seed-0005-attempt-1,F12,thin-source,0005,S1-layered,completed,92.5500,23.8000,23.7500,30.0000,15.0000,,0,0,,deterministic-process-scorer-v1,7,28,1.0000,0.1955,0,0,92.5500,1.0000,0,0,0.0000
